,01 IT-ET Glut,02 NP-CT-L6b Glut,03 OB-CR Glut,05 OB-IMN GABA,06 CTX-CGE GABA,07 CTX-MGE GABA,08 CNU-MGE GABA,09 CNU-LGE GABA,13 CNU-HYa Glut,19 MB Glut,20 MB GABA,30 Astro-Epen,31 OPC-Oligo,33 Vascular,34 Immune
01 IT-ET Glut,1.0,0.6948070805307933,0.24264009792112945,0.060464169975994166,0.9478335267715745,0.9569653902505861,0.6596281370822352,0.03102901433970592,-0.1165536306883269,0.2136308296269322,0.20816549875622073,0.9430839014645457,0.8852606666687656,0.972965862934377,0.954092333077725
02 NP-CT-L6b Glut,0.6948070805307933,1.0,0.1392568840507251,0.18216476264784492,0.5559813393328759,0.8545904345882576,0.8793571619709462,0.1018196695522083,-0.11840800636734036,0.24346301320039607,0.23208464779877125,0.6802021403968227,0.910639068428434,0.7388580981177723,0.78398620582425
03 OB-CR Glut,0.24264009792112945,0.1392568840507251,1.0,0.7902347915513184,0.3290024139383678,0.23362004502860012,0.17668336683681574,-0.046263599450074966,-0.0475413065635557,0.2627627086458423,0.2704058393862227,0.39135043429192073,0.18755318982669303,0.289432267773699,0.2355730731519148
05 OB-IMN GABA,0.060464169975994166,0.18216476264784492,0.7902347915513184,1.0,0.05489142676366889,0.0948677331920622,0.17788022202895964,0.05889121391943557,-0.03416793075803691,0.018652419186594965,0.010350332279452588,0.10107390711294194,0.06474721914989645,0.04946013914167538,0.04374622906302789
06 CTX-CGE GABA,0.9478335267715745,0.5559813393328759,0.3290024139383678,0.05489142676366889,1.0,0.8762755130432185,0.600071888998364,0.042479195375154856,-0.0922226169484704,0.2313660036212987,0.23378546943467618,0.95202818042947,0.7865694916512961,0.9486439980994167,0.9276380490183124
07 CTX-MGE GABA,0.9569653902505861,0.8545904345882576,0.23362004502860012,0.0948677331920622,0.8762755130432185,1.0,0.7993465276685388,0.0880175947904933,-0.11151014091583127,0.2382857646099553,0.22822104075166794,0.9168226593736174,0.9518400504670113,0.9563595363368133,0.9663334314974882
08 CNU-MGE GABA,0.6596281370822352,0.8793571619709462,0.17668336683681574,0.17788022202895964,0.600071888998364,0.7993465276685388,1.0,0.276307190814192,0.1691756877299071,0.2161365810320181,0.19905673266426402,0.6778854694631129,0.8123442844201721,0.7169832123010357,0.7912044081714441
09 CNU-LGE GABA,0.03102901433970592,0.1018196695522083,-0.046263599450074966,0.05889121391943557,0.042479195375154856,0.0880175947904933,0.276307190814192,1.0,0.7891414933280045,-0.05855478612902642,-0.0567636757521526,0.07565903476018442,0.06473067582387904,0.057438422597394526,0.13543018331134754
13 CNU-HYa Glut,-0.1165536306883269,-0.11840800636734036,-0.0475413065635557,-0.03416793075803691,-0.0922226169484704,-0.11151014091583127,0.1691756877299071,0.7891414933280045,1.0,-0.05687238380158259,-0.056335741358963395,-0.06604286587406442,-0.1148839207409112,-0.09491601151821631,0.031481000139051266
19 MB Glut,0.2136308296269322,0.24346301320039607,0.2627627086458423,0.018652419186594965,0.2313660036212987,0.2382857646099553,0.2161365810320181,-0.05855478612902642,-0.05687238380158259,1.0,0.9881345006583683,0.3934824399832985,0.26227113527522816,0.29655226111912175,0.25199701517029727
20 MB GABA,0.20816549875622073,0.23208464779877125,0.2704058393862227,0.010350332279452588,0.23378546943467618,0.22822104075166794,0.19905673266426402,-0.0567636757521526,-0.056335741358963395,0.9881345006583683,1.0,0.39584511978224635,0.2561445209551997,0.2992714833854947,0.2524263782303872
30 Astro-Epen,0.9430839014645457,0.6802021403968227,0.39135043429192073,0.10107390711294194,0.95202818042947,0.9168226593736174,0.6778854694631129,0.07565903476018442,-0.06604286587406442,0.3934824399832985,0.39584511978224635,1.0,0.8724063773556185,0.9772012888590329,0.9502357097053754
31 OPC-Oligo,0.8852606666687656,0.910639068428434,0.18755318982669303,0.06474721914989645,0.7865694916512961,0.9518400504670113,0.8123442844201721,0.06473067582387904,-0.1148839207409112,0.26227113527522816,0.2561445209551997,0.8724063773556185,1.0,0.9225527562768421,0.9255772373464835
33 Vascular,0.972965862934377,0.7388580981177723,0.289432267773699,0.04946013914167538,0.9486439980994167,0.9563595363368133,0.7169832123010357,0.057438422597394526,-0.09491601151821631,0.29655226111912175,0.2992714833854947,0.9772012888590329,0.9225527562768421,1.0,0.9784723946584853
34 Immune,0.954092333077725,0.78398620582425,0.2355730731519148,0.04374622906302789,0.9276380490183124,0.9663334314974882,0.7912044081714441,0.13543018331134754,0.031481000139051266,0.25199701517029727,0.2524263782303872,0.9502357097053754,0.9255772373464835,0.9784723946584853,1.0
