cell_type,n_cells,peak_vmr_ratio,peak_scale_um,integrated_excess,fingerprint_width,direction,p_value,is_significant
009 L2/3 IT PIR-ENTl Glut,3230,32.42577281514997,992.7085823548822,28.154664830322943,0.91204482964487,clustered,1.1102230246251565e-16,True
020 L2/3 IT RSP Glut,14285,17.344317614475095,992.7085823548822,18.755837917264593,1.0881360887005511,clustered,1.1102230246251565e-16,True
018 L2 IT PPP-APr Glut,200,24.41164382337698,830.63371176633,16.828305503191743,0.7359535705891886,clustered,1.1102230246251565e-16,True
021 L4 RSP-ACA Glut,2457,18.514739072912512,992.7085823548822,16.328026268131524,0.91204482964487,clustered,1.1102230246251565e-16,True
027 L6b EPd Glut,440,23.779133462254865,992.7085823548822,13.611653378231244,0.5440680443502757,clustered,1.1102230246251565e-16,True
019 L2/3 IT PPP Glut,386,16.455154276869134,830.63371176633,11.755902572961215,0.6585413472804107,clustered,1.1102230246251565e-16,True
008 L2/3 IT ENT Glut,886,16.36496287918396,992.7085823548822,11.44117039462154,0.7359535705891886,clustered,1.1102230246251565e-16,True
028 L6b/CT ENT Glut,1164,11.379313310873771,992.7085823548822,9.348109765306583,0.91204482964487,clustered,1.1102230246251565e-16,True
213 SCsg Gabrr2 Gaba,224,17.08852195439694,992.7085823548822,8.864377651347235,0.5440680443502757,clustered,1.1102230246251565e-16,True
042 OB-out Frmd7 Gaba,196,15.2271001333526,992.7085823548822,8.748519654469892,0.5440680443502757,clustered,1.1102230246251565e-16,True
010 IT AON-TT-DP Glut,464,13.189097508006872,992.7085823548822,8.647427863629211,0.6488033948702885,clustered,1.1102230246251565e-16,True
318 Astro-NT NN,403,14.041718150832022,992.7085823548822,8.323615074195853,0.5440680443502757,clustered,1.1102230246251565e-16,True
187 SCsg Pde5a Glut,233,15.09976510941395,992.7085823548822,8.182901821708814,0.5440680443502757,clustered,1.1102230246251565e-16,True
