cell_type,n_cells,mediation_pct,chi2_overall,chi2_within_stratum,p_overall,p_within_stratum,peak_vmr_ratio_overall,peak_vmr_ratio_within_stratum,integrated_excess_overall,integrated_excess_within_stratum
01 IT-ET Glut,441026,90.23917604034554,33035.983813111205,3224.5842233377243,1.1102230246251565e-16,1.1102230246251565e-16,1.1995993093204735,1.0469659688433985,0.1792763956424334,0.03560950611639376
02 NP-CT-L6b Glut,131873,94.41202365721733,80800.55807300346,4515.1160699558095,1.1102230246251565e-16,1.1102230246251565e-16,2.0352207123463812,1.1513809983529273,1.0441909971757795,0.14737654228777602
03 OB-CR Glut,133,66.32611770177223,1492.9806138772947,502.7445346523985,1.1102230246251565e-16,3.3306690738754696e-16,2.9904157622665566,2.595130600139559,1.1956888086502957,1.0327977078211867
05 OB-IMN GABA,354,10.276712410018007,169259.3995651521,151865.09784491814,1.1102230246251565e-16,1.1102230246251565e-16,13.694773339203035,14.695078700106416,9.537850652345917,9.986459345246821
06 CTX-CGE GABA,26330,77.61552419727582,749.6743498484368,167.81067344105318,1.1102230246251565e-16,6.801798679845206e-09,1.0406411934785211,1.023330357406811,-0.01585039130905927,-0.01652535491687209
07 CTX-MGE GABA,56619,90.20113630482615,2621.2428394390117,256.85201295613365,1.1102230246251565e-16,1.4430123762565472e-11,1.2222806950572103,1.0469041701755804,0.22272978893286155,0.041974759480984
08 CNU-MGE GABA,848,1.2382474303781033,33.47425832055372,33.05976417706134,0.03528390820044036,0.03761695810336074,1.1447750020320886,1.0619086170540981,0.10132498120080684,0.03620101795977054
09 CNU-LGE GABA,225,33.30053012640718,19473.144275427774,12988.483999430213,1.1102230246251565e-16,1.1102230246251565e-16,6.712931708464747,5.344195144431877,3.367677797242611,2.8657351945738814
13 CNU-HYa Glut,177,-23.05727794349197,19821.530039567355,24391.835313443153,1.1102230246251565e-16,1.1102230246251565e-16,11.806830441606241,11.139197070496376,4.816532409186856,4.595860698928985
19 MB Glut,239,61.31390999996732,80149.05515098236,31006.535609884864,1.1102230246251565e-16,1.1102230246251565e-16,17.724166934106393,15.594361650354235,8.655064455852013,7.245992753966919
20 MB GABA,413,61.21914711244698,234726.5120174883,91028.94331358661,1.1102230246251565e-16,1.1102230246251565e-16,25.441288389979185,21.14240904527266,13.806941113648367,10.916536419626416
30 Astro-Epen,103517,78.59976274599939,2709.026629424287,579.7381259708537,1.1102230246251565e-16,1.1102230246251565e-16,0.9511802133558944,0.9856011346603921,-0.10773786545358788,-0.045336636319705234
31 OPC-Oligo,55061,64.47093026809412,666.1121828433734,236.66346193514246,1.1102230246251565e-16,4.955436061493401e-11,1.150509233001797,1.094459040750082,0.14705254260906972,0.07814477040013854
33 Vascular,104163,38.55906288045847,1634.401956870789,1004.1918786015377,1.1102230246251565e-16,1.1102230246251565e-16,0.9755122591238452,1.0125551941345303,-0.08865265465671579,-0.03822864845702068
34 Immune,15228,70.9176606691297,198.6829518084128,57.781650237512125,6.407065988867089e-10,0.0009210301136379773,0.8980576216280176,0.9288819251051965,-0.1584579941808431,-0.10044568036637672
