cell_type,n_cells,chi_squared,f_statistic,p_value,peak_scale_um,peak_vmr_ratio,is_significant
11 CNU-HYa GABA,71,668.452732461318,43.19932624750014,1.1102230246251565e-16,997.4401623804231,3.0055809950698102,True
12 HY GABA,8157,29897.705741340054,1932.164656753269,1.1102230246251565e-16,997.4401623804231,3.897149621259695,True
13 CNU-HYa Glut,305,76711.7290497006,4957.560720899019,1.1102230246251565e-16,997.4401623804231,18.789946441469173,True
14 HY Glut,84,5951.950110939779,384.6498371015503,1.1102230246251565e-16,997.4401623804231,8.591017157179255,True
17 MH-LH Glut,5278,3424322.3257313394,221299.74213910016,1.1102230246251565e-16,750.8819199942511,36.41125955094677,True
18 TH Glut,56668,13199.728376215975,853.0436705717807,1.1102230246251565e-16,997.4401623804231,1.6509978035167734,True
19 MB Glut,2617,18883.231760255305,1220.3449096763634,1.1102230246251565e-16,997.4401623804231,5.015747170502847,True
20 MB GABA,1149,37270.68720773925,2408.64985356138,1.1102230246251565e-16,997.4401623804231,5.582338376966485,True
30 Astro-Epen,19713,2643.321837090683,170.82692144463599,1.1102230246251565e-16,997.4401623804231,1.465816463129231,True
31 OPC-Oligo,24446,462.236413191934,29.872421260703216,1.2212453270876722e-15,997.4401623804231,1.2270908777923715,True
33 Vascular,13915,433.46525945756923,28.013060985353114,3.4416913763379853e-15,997.4401623804231,1.1768694806954805,True
34 Immune,1299,54.3835371259941,3.5145823312717277,0.0015001564001112522,997.4401623804231,1.3538334141578243,True
